,date,close,total_volume,market_cap,name
9895,2015-01-01 00:00:00.000,313.9920000000001,46999364.08867299,4293958347.0000014,bitcoin
9896,2015-01-02 00:00:00.000,314.446,38855906.30053607,4301448334.7,bitcoin
9897,2015-01-03 00:00:00.000,286.572,118778941.40912902,3921358112.1,bitcoin
9898,2015-01-04 00:00:00.000,260.936,205500148.96968707,3571639780.8,bitcoin
9899,2015-01-05 00:00:00.000,273.22,155038125.45582142,3740880426.5,bitcoin
9900,2015-01-06 00:00:00.000,285.3738000000001,97002895.9764078,3908408221.350001,bitcoin
9901,2015-01-07 00:00:00.000,295.8725,110674232.978753,4053238742.4375,bitcoin
9902,2015-01-08 00:00:00.000,284.4525,86570544.47058573,3897824162.25,bitcoin
9903,2015-01-09 00:00:00.000,289.5738000000001,83478400.2771182,3968992614.285001,bitcoin
9904,2015-01-10 00:00:00.000,274.533,92683835.63260388,3763909199.925,bitcoin
9905,2015-01-11 00:00:00.000,267.184,73256737.91089578,3664201453.6,bitcoin
9906,2015-01-12 00:00:00.000,268.353667700943,78982214.88677162,3681154854.371071,bitcoin
9907,2015-01-13 00:00:00.000,221.436,215752219.9219919,3038251389.3,bitcoin
9908,2015-01-14 00:00:00.000,172.1479,236006920.8178313,2362639549.8525,bitcoin
9909,2015-01-15 00:00:00.000,210.5559,257637517.29041365,2890521922.995,bitcoin
9910,2015-01-16 00:00:00.000,205.816,176217465.4940408,2826188131.0,bitcoin
9911,2015-01-17 00:00:00.000,199.4914,106431481.13147792,2740019366.285,bitcoin
9912,2015-01-18 00:00:00.000,208.9892,118664232.7276146,2871292169.34,bitcoin
9913,2015-01-19 00:00:00.000,214.545,105545327.33818196,2948379298.875,bitcoin
9914,2015-01-20 00:00:00.000,210.5137,94312137.93638834,2893626589.035,bitcoin
9915,2015-01-21 00:00:00.000,224.0451,99166469.19882472,3080429686.665,bitcoin
9916,2015-01-22 00:00:00.000,232.0423000000001,151229886.42783546,3191202338.1525016,bitcoin
9917,2015-01-23 00:00:00.000,232.898,126038219.2115576,3203686663.5,bitcoin
9918,2015-01-24 00:00:00.000,248.096,134933345.06544757,3413521852.0,bitcoin
9919,2015-01-25 00:00:00.000,253.8388999999999,142426844.88892275,3493324595.8274984,bitcoin
9920,2015-01-26 00:00:00.000,271.2882000000001,401755946.5274641,3734336330.640001,bitcoin
9921,2015-01-27 00:00:00.000,259.2356,339951744.7443284,3568728002.06,bitcoin
9922,2015-01-29 00:00:00.000,232.5329422304941,161971565.54864252,3203612158.433073,bitcoin
9923,2015-01-30 00:00:00.000,228.6354,105832532.60469384,3150704413.815,bitcoin
9924,2015-01-31 00:00:00.000,218.0233,92459195.6343594,3005342178.85,bitcoin
9925,2015-02-01 00:00:00.000,226.2697,100844154.3350744,3119897131.48,bitcoin
9926,2015-02-02 00:00:00.000,240.0193,108043831.20772208,3310466195.25,bitcoin
9927,2015-02-03 00:00:00.000,226.0119,135790231.88905972,3117998019.1275,bitcoin
9928,2015-02-04 00:00:00.000,225.3083,83155505.15562138,3109175682.095,bitcoin
9929,2015-02-05 00:00:00.000,216.9136,74142168.01402433,2994172300.44,bitcoin
9930,2015-02-06 00:00:00.000,222.4872,88164946.84338237,3072075446.7,bitcoin
9931,2015-02-07 00:00:00.000,227.2050999999999,80694160.19495533,3138151161.072499,bitcoin
9932,2015-02-08 00:00:00.000,222.9061,76979240.31280218,3079497925.3725,bitcoin
9933,2015-02-09 00:00:00.000,220.0922,79154588.47482522,3041547650.985,bitcoin
9934,2015-02-10 00:00:00.000,220.6493,66708973.92079521,3049996660.2725,bitcoin
9935,2015-02-11 00:00:00.000,219.0956,65150873.75436823,3029418429.03,bitcoin
9936,2015-02-12 00:00:00.000,222.0401587875259,51632481.43908263,3070809845.027513,bitcoin
9937,2015-02-13 00:00:00.000,235.6774,137045816.2260813,3260249204.835,bitcoin
